Source: ACS 1-Year Estimates Public Use Microdata Sample 2018
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"Selected Geographies",""
"Alabama","4887871"
"Alaska","737438"
"Arizona","7171646"
"Arkansas","3013825"
"California","39557045"
"Colorado","5695564"
"Connecticut","3572665"
"Delaware","967171"
"District of Columbia","702455"
"Florida","21299325"
"Georgia","10519475"
"Hawaii","1420491"
"Idaho","1754208"
"Illinois","12741080"
"Indiana","6691878"
"Iowa","3156145"
"Kansas","2911510"
"Kentucky","4468402"
"Louisiana","4659978"
"Maine","1338404"
"Maryland","6042718"
"Massachusetts","6902197"
"Michigan","9995915"
"Minnesota","5611179"
"Mississippi","2986530"
"Missouri","6126452"
"Montana","1062305"
"Nebraska","1929268"
"Nevada","3034392"
"New Hampshire","1356410"
"New Jersey","8908520"
"New Mexico","2095428"
"New York","19542209"
"North Carolina","10383620"
"North Dakota","760077"
"Ohio","11689442"
"Oklahoma","3943079"
"Oregon","4190713"
"Pennsylvania","12807060"
"Rhode Island","1057315"
"South Carolina","5084127"
"South Dakota","882235"
"Tennessee","6770010"
"Texas","28701845"
"Utah","3161105"
"Vermont","626299"
"Virginia","8517685"
"Washington","7535591"
"West Virginia","1805832"
"Wisconsin","5813568"
"Wyoming","577737"
