Source: ACS 1-Year Estimates Public Use Microdata Sample 2007
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"Selected Geographies",""
"Alabama","4627851"
"Alaska","683478"
"Arizona","6338755"
"Arkansas","2834797"
"California","36553215"
"Colorado","4861515"
"Connecticut","3502309"
"Delaware","864764"
"District of Columbia","588292"
"Florida","18251243"
"Georgia","9544750"
"Hawaii","1283388"
"Idaho","1499402"
"Illinois","12852548"
"Indiana","6345289"
"Iowa","2988047"
"Kansas","2775997"
"Kentucky","4241474"
"Louisiana","4293204"
"Maine","1317207"
"Maryland","5618344"
"Massachusetts","6449755"
"Michigan","10071822"
"Minnesota","5197621"
"Mississippi","2918785"
"Missouri","5878415"
"Montana","957861"
"Nebraska","1774571"
"Nevada","2565382"
"New Hampshire","1315828"
"New Jersey","8685920"
"New Mexico","1969915"
"New York","19297729"
"North Carolina","9061032"
"North Dakota","639715"
"Ohio","11466917"
"Oklahoma","3617316"
"Oregon","3747455"
"Pennsylvania","12432792"
"Rhode Island","1057832"
"South Carolina","4407709"
"South Dakota","796215"
"Tennessee","6156719"
"Texas","23904380"
"Utah","2645330"
"Vermont","621254"
"Virginia","7712091"
"Washington","6468424"
"West Virginia","1812035"
"Wisconsin","5601640"
"Wyoming","522830"
