Source: ACS 1-Year Estimates Public Use Microdata Sample 2016
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"Selected Geographies",""
"Alabama","4863300"
"Alaska","741894"
"Arizona","6931071"
"Arkansas","2988248"
"California","39250017"
"Colorado","5540545"
"Connecticut","3576452"
"Delaware","952065"
"District of Columbia","681170"
"Florida","20612439"
"Georgia","10310371"
"Hawaii","1428557"
"Idaho","1683140"
"Illinois","12801539"
"Indiana","6633053"
"Iowa","3134693"
"Kansas","2907289"
"Kentucky","4436974"
"Louisiana","4681666"
"Maine","1331479"
"Maryland","6016447"
"Massachusetts","6811885"
"Michigan","9928300"
"Minnesota","5519952"
"Mississippi","2988726"
"Missouri","6093000"
"Montana","1042520"
"Nebraska","1907116"
"Nevada","2940058"
"New Hampshire","1334689"
"New Jersey","8944469"
"New Mexico","2081015"
"New York","19745289"
"North Carolina","10146788"
"North Dakota","757953"
"Ohio","11614373"
"Oklahoma","3923561"
"Oregon","4093465"
"Pennsylvania","12784227"
"Rhode Island","1056426"
"South Carolina","4961119"
"South Dakota","865454"
"Tennessee","6651194"
"Texas","27862596"
"Utah","3051217"
"Vermont","624594"
"Virginia","8411808"
"Washington","7288000"
"West Virginia","1831102"
"Wisconsin","5778709"
"Wyoming","585501"
