Source: ACS 1-Year Estimates Public Use Microdata Sample 2009
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"Selected Geographies",""
"Alabama","4708708"
"Alaska","698473"
"Arizona","6595778"
"Arkansas","2889450"
"California","36961664"
"Colorado","5024748"
"Connecticut","3518288"
"Delaware","885122"
"District of Columbia","599657"
"Florida","18537969"
"Georgia","9829211"
"Hawaii","1295178"
"Idaho","1545801"
"Illinois","12910409"
"Indiana","6423113"
"Iowa","3007857"
"Kansas","2818747"
"Kentucky","4314113"
"Louisiana","4492076"
"Maine","1318301"
"Maryland","5699478"
"Massachusetts","6593587"
"Michigan","9969727"
"Minnesota","5266215"
"Mississippi","2951996"
"Missouri","5987580"
"Montana","974989"
"Nebraska","1796622"
"Nevada","2643085"
"New Hampshire","1324575"
"New Jersey","8707740"
"New Mexico","2009671"
"New York","19541453"
"North Carolina","9380884"
"North Dakota","646844"
"Ohio","11542645"
"Oklahoma","3687050"
"Oregon","3825657"
"Pennsylvania","12604767"
"Rhode Island","1053209"
"South Carolina","4561242"
"South Dakota","812383"
"Tennessee","6296254"
"Texas","24782302"
"Utah","2784572"
"Vermont","621760"
"Virginia","7882590"
"Washington","6664195"
"West Virginia","1819777"
"Wisconsin","5654774"
"Wyoming","544270"
